0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:33 +0800] "GET / HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:34 +0800] "GET /getVerifyUtil.do HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:37 +0800] "POST /login.do HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:37 +0800] "GET /getVerifyUtil.do HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:42 +0800] "POST /login.do HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:42 +0800] "GET /getVerifyUtil.do HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:45 +0800] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:45 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:39:45 +0800] "GET /getVerifyUtil.do HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:16 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:16 +0800] "GET /verifyUtil.do HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:16 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /verifyUtil.do HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /verifyUtil.do HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /verifyUtil.do HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /verifyUtil.do HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:17 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:18 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:18 +0800] "GET /verifyUtil.do HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:18 +0800] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Oct/2018:16:41:18 +0800] "GET /student/login.do?username=3123&password= HTTP/1.1" 200 1193
